Vehicle_Model,Mileage,Reported_Issues,Vehicle_Age,Fuel_Type,Transmission_Type,Odometer_Reading,Service_History,Fuel_Efficiency,Tire_Condition,Brake_Condition,Battery_Status
SUV,42277,1,7,Diesel,Automatic,126404,9,12.46936358,Good,Good,Good
Car,31151,1,1,Electric,Manual,13990,5,19.95589225,New,Good,New
Truck,50384,2,8,Electric,Manual,56267,6,18.94336795,Worn Out,Worn Out,Weak
Car,45968,2,9,Petrol,Automatic,3843,2,11.92327931,Good,Worn Out,New
SUV,51737,1,9,Petrol,Manual,130219,5,18.08897617,Good,New,Weak
Truck,66155,2,5,Diesel,Automatic,27152,5,16.85578413,Worn Out,Worn Out,New
Car,38480,5,3,Diesel,Automatic,5369,6,15.85468892,Worn Out,Good,Weak
SUV,65080,2,10,Electric,Automatic,47060,6,17.89665005,Worn Out,New,Weak
SUV,76185,1,9,Diesel,Manual,18201,7,12.92745463,Good,Good,Good
Truck,61313,1,5,Electric,Automatic,134673,7,12.11192987,Worn Out,New,Good
SUV,71959,2,5,Petrol,Automatic,65052,8,10.65721185,New,New,Good
Van,64917,0,1,Diesel,Automatic,145226,7,13.17890632,Good,Worn Out,New
Motorcycle,30294,1,7,Electric,Automatic,81650,2,14.00295366,Good,Good,New
Truck,49584,3,3,Electric,Automatic,123502,10,10.79117534,New,Good,New
Car,66388,3,3,Diesel,Manual,121705,4,16.63229254,Good,New,Weak
Van,36728,1,10,Diesel,Automatic,113772,4,17.93500283,New,New,New
SUV,76936,1,6,Petrol,Manual,3024,7,15.79839526,New,New,Weak
Bus,39343,2,5,Electric,Manual,147373,2,10.02257628,New,Good,Good
Truck,59279,5,9,Electric,Automatic,51801,3,11.22627755,Worn Out,Worn Out,New
Van,48708,4,3,Diesel,Manual,5750,3,18.39427518,Worn Out,Good,Weak
Van,60298,2,1,Electric,Automatic,32191,2,13.55461054,Good,Good,Good
Truck,37306,5,3,Electric,Automatic,64085,1,10.55934675,Worn Out,Good,Weak
Truck,39474,0,6,Petrol,Manual,102917,3,13.78628282,New,Worn Out,New
Van,67605,2,10,Electric,Automatic,52197,2,10.16855926,Good,Worn Out,Good
SUV,79976,5,10,Petrol,Automatic,20689,6,13.41678615,New,Good,Weak
Truck,72389,3,7,Petrol,Manual,117863,4,19.03851356,New,New,Weak
Bus,54835,2,2,Petrol,Manual,125480,6,11.99051871,Worn Out,Good,Weak
Car,71048,3,3,Electric,Automatic,51032,2,14.70210989,Worn Out,New,Good
Bus,35469,5,2,Electric,Automatic,46284,1,10.38634259,Worn Out,Good,Good
Van,65411,0,7,Petrol,Manual,21927,8,17.93657741,Worn Out,Good,New
Car,70996,0,9,Petrol,Manual,35448,4,14.95725291,Worn Out,Good,Good
Bus,52721,2,6,Electric,Automatic,79940,6,17.90187274,Good,New,Good
Car,79851,3,8,Electric,Automatic,71164,4,18.09941097,Good,Worn Out,Good
Motorcycle,62885,4,2,Petrol,Manual,117054,9,12.88959057,Worn Out,New,Weak
Motorcycle,71538,1,10,Electric,Manual,35614,6,13.79165727,New,New,New
SUV,48586,3,5,Petrol,Manual,92311,5,11.50100137,New,Good,Weak
Car,70494,1,3,Electric,Automatic,67025,8,12.44497192,New,New,Good
Bus,58576,5,5,Diesel,Manual,127106,4,12.85439105,Worn Out,Worn Out,New
Motorcycle,40879,3,8,Petrol,Manual,16121,3,13.89996884,New,New,Weak
Bus,68300,1,4,Electric,Automatic,138522,6,11.35336297,New,Good,New
Bus,46225,1,1,Petrol,Automatic,41197,6,18.97196136,Good,Worn Out,Good
Car,50117,0,4,Diesel,Automatic,82361,10,12.91044046,New,Good,Good
SUV,60599,3,7,Petrol,Automatic,144187,4,19.14500065,New,Worn Out,New
Motorcycle,45487,1,9,Electric,Manual,5402,7,12.30419657,Good,Good,New
Van,61869,1,4,Electric,Manual,105264,10,19.12991545,New,New,Weak
Bus,61047,2,5,Diesel,Automatic,118864,6,10.36781456,Worn Out,Good,Good
Bus,54206,5,5,Petrol,Automatic,140088,9,13.30303541,Worn Out,New,New
Van,78888,0,2,Diesel,Manual,31378,6,13.96317086,New,New,New
Bus,34691,1,6,Diesel,Manual,55909,10,15.54996184,Worn Out,Good,Good
Van,58170,3,6,Petrol,Automatic,10497,2,17.78771816,Good,Worn Out,Good
Van,62149,2,10,Petrol,Automatic,117676,5,15.94784021,New,New,New
Bus,48335,3,10,Diesel,Manual,91760,2,15.29611992,Worn Out,New,Weak
Car,30925,5,3,Electric,Manual,9372,2,18.00134912,New,Good,Weak
Bus,50830,2,6,Petrol,Manual,113523,8,13.45848481,Good,Worn Out,Good
Truck,71211,1,5,Petrol,Automatic,107769,9,10.61720928,Good,New,Good
Bus,36535,5,5,Petrol,Automatic,125975,1,14.81451667,Good,Good,Weak
Motorcycle,44584,3,4,Electric,Automatic,61848,5,18.17873524,New,New,New
Truck,30871,1,7,Diesel,Manual,55924,1,14.29104139,Worn Out,Good,New
Motorcycle,66315,5,10,Electric,Automatic,88856,6,10.6913811,Worn Out,Worn Out,Good
Bus,70347,1,8,Electric,Automatic,107398,10,10.40435026,Worn Out,Good,Weak
Bus,39052,1,1,Diesel,Automatic,7515,2,13.93844076,Worn Out,Worn Out,Good
Motorcycle,56960,2,1,Electric,Automatic,33225,8,19.4482778,Worn Out,New,Weak
Van,56097,5,5,Petrol,Manual,149391,2,15.93082571,Good,New,New
Car,47511,0,10,Diesel,Manual,38672,8,13.71520321,Good,Good,New
SUV,42922,5,5,Diesel,Automatic,47095,7,13.56525759,New,Worn Out,Good
Car,71376,4,8,Diesel,Manual,74565,10,12.12782265,Worn Out,Good,New
SUV,65437,3,3,Diesel,Automatic,27500,3,15.98116301,Worn Out,Good,Weak
Motorcycle,61549,4,6,Petrol,Manual,92704,10,10.64337816,Good,Good,Good
Truck,62634,5,7,Electric,Manual,45741,6,14.83449656,Worn Out,Worn Out,Good
Van,58629,5,9,Petrol,Automatic,64228,7,10.28163475,Good,New,Good
Motorcycle,50866,0,8,Petrol,Automatic,148335,9,15.65178491,Worn Out,New,New
SUV,38873,4,2,Diesel,Manual,82859,6,14.9269391,New,Worn Out,Weak
Van,63901,4,2,Diesel,Automatic,98020,8,14.9836655,Good,New,Weak
SUV,40925,5,8,Electric,Manual,92646,10,17.5628756,Worn Out,Good,Good
Van,70315,1,4,Petrol,Manual,127040,6,19.42071207,Good,New,New
SUV,66110,5,6,Diesel,Manual,138610,3,11.08752078,New,Good,New
Van,59515,0,6,Electric,Manual,25165,3,10.10934224,Worn Out,Worn Out,Good
Motorcycle,50604,4,3,Diesel,Manual,97994,3,12.32380709,Good,Worn Out,Weak
Truck,54090,2,6,Electric,Automatic,55704,6,11.46177343,Good,Worn Out,New
Bus,67008,4,8,Diesel,Manual,79876,8,18.39289227,Good,Good,Weak
Bus,72917,4,3,Diesel,Automatic,11611,9,15.85410307,Good,Worn Out,Weak
Motorcycle,69172,0,3,Diesel,Manual,44002,1,18.0580569,New,Worn Out,Weak
Car,35433,3,6,Diesel,Manual,130897,3,14.2487945,Good,New,Weak
Van,72751,5,3,Diesel,Automatic,51377,2,17.0835224,New,New,New
Bus,30402,0,8,Petrol,Manual,44404,5,12.53605956,Worn Out,Good,Weak
Motorcycle,53519,1,1,Diesel,Automatic,23932,1,16.953565,New,Good,Good
Van,49542,3,7,Petrol,Automatic,59766,10,13.56097841,Good,Good,Weak
Truck,32950,0,3,Diesel,Manual,27555,6,13.68939755,New,Good,Good
Van,62378,0,7,Diesel,Manual,96890,6,13.69270718,Good,New,New
Van,53951,3,5,Petrol,Manual,101760,3,18.45221728,Worn Out,Worn Out,Weak
Car,55227,3,1,Electric,Automatic,16658,7,13.17496852,Worn Out,Worn Out,Good
Car,64216,3,10,Diesel,Manual,85738,8,12.57902429,New,Worn Out,New
Bus,49118,2,6,Diesel,Automatic,108538,1,15.3116698,Worn Out,Worn Out,Weak
Car,66531,5,9,Diesel,Manual,85389,2,16.36473947,Worn Out,Worn Out,Good
Truck,34702,4,4,Petrol,Manual,113626,4,19.50485626,New,Good,Good
Motorcycle,39304,5,5,Electric,Manual,96084,9,10.1335749,New,Worn Out,Good
Van,36487,1,7,Diesel,Manual,69928,5,19.23421238,Good,Good,Weak
Car,71031,2,8,Diesel,Automatic,14073,10,14.20614486,Worn Out,Worn Out,Good
Truck,69653,5,6,Petrol,Manual,82694,6,19.41976782,Worn Out,Good,Good
Bus,37006,5,6,Diesel,Automatic,107024,1,15.86465372,Good,Good,Weak
SUV,79711,5,3,Diesel,Manual,93387,2,10.92488731,Good,Good,Good
Car,79080,1,7,Electric,Manual,2638,8,15.70235849,Worn Out,Good,Weak
Truck,69697,4,3,Electric,Automatic,70402,3,19.97952775,New,Worn Out,New
Car,54188,4,5,Petrol,Manual,116823,7,13.36393128,New,Worn Out,Good
Motorcycle,57702,3,1,Diesel,Manual,110405,10,12.96805959,Worn Out,Worn Out,Good
SUV,33279,4,8,Diesel,Manual,49492,1,19.99310444,New,New,New
SUV,34985,1,9,Petrol,Manual,24362,2,15.94364021,Worn Out,New,Weak
Van,63259,3,6,Diesel,Automatic,14334,10,10.41435474,Worn Out,Worn Out,Weak
Motorcycle,78096,1,7,Electric,Automatic,83551,9,10.50661632,New,New,Good
SUV,60688,0,9,Diesel,Automatic,121786,6,15.83508213,New,Good,Weak
SUV,77622,2,8,Petrol,Automatic,67998,7,19.43215589,New,New,Good
Motorcycle,34852,0,4,Petrol,Automatic,91750,5,16.08042642,New,Worn Out,New
Car,48435,0,7,Diesel,Automatic,90599,4,14.21758027,New,New,Weak
Motorcycle,40324,4,1,Petrol,Manual,41677,2,12.8390919,Worn Out,Worn Out,New
Motorcycle,67009,2,9,Electric,Automatic,4056,9,12.24210219,Good,Good,Weak
Bus,54600,5,6,Petrol,Manual,7986,2,18.0361805,Worn Out,New,New
Van,41290,3,5,Diesel,Automatic,132791,3,14.73501694,Good,Worn Out,Good
Truck,73155,2,10,Petrol,Automatic,80213,9,14.58029644,Good,Worn Out,Good
SUV,76269,1,4,Electric,Automatic,17002,4,19.82925268,New,Worn Out,New
Car,66356,5,8,Petrol,Automatic,1731,2,12.13793446,Worn Out,Good,Good
Van,54108,4,6,Diesel,Manual,97698,8,12.19801077,Good,New,Weak
Motorcycle,66346,1,5,Electric,Manual,97681,5,11.07776411,Good,Worn Out,New
Truck,74314,2,7,Diesel,Manual,42302,6,19.60476112,Good,Worn Out,New
Bus,39045,3,10,Diesel,Automatic,77482,8,16.68250527,Good,Worn Out,Weak
Car,59196,1,2,Petrol,Automatic,94606,3,18.93705251,Worn Out,New,Weak
Van,46817,1,1,Petrol,Automatic,18911,7,13.66404383,Worn Out,Good,Weak
Car,36430,3,9,Petrol,Automatic,82300,4,10.37245957,Worn Out,Good,Weak
Van,38237,1,2,Petrol,Manual,102727,9,13.01644553,Worn Out,New,New
Car,34149,1,6,Petrol,Manual,16157,6,16.44949164,Worn Out,Good,New
Van,65069,0,10,Electric,Manual,145896,9,17.33659071,Worn Out,New,New
Motorcycle,75222,5,1,Petrol,Manual,61443,10,10.87396524,New,Worn Out,Weak
Car,51233,4,5,Petrol,Automatic,96628,2,12.04067331,New,Good,New
Car,53294,2,9,Petrol,Manual,110948,2,19.62325005,Worn Out,Worn Out,New
Motorcycle,72554,2,5,Diesel,Manual,145017,2,12.61824085,Good,Good,New
Truck,47999,3,9,Electric,Manual,40728,6,12.69045232,New,New,New
Motorcycle,36016,0,4,Petrol,Manual,113228,7,10.34602978,Worn Out,New,New
Car,58658,3,5,Diesel,Automatic,136359,1,14.86321104,Good,Good,Good
Car,69424,2,5,Diesel,Manual,43858,8,18.10101671,New,Good,New
SUV,52856,2,2,Petrol,Manual,98553,5,12.76968755,New,New,Weak
Car,40549,4,4,Electric,Automatic,7120,2,17.87274359,Good,Good,Good
Truck,76325,3,5,Electric,Manual,71869,3,16.74189871,Worn Out,Good,Weak
Truck,67426,4,8,Diesel,Automatic,96271,9,17.64520388,Good,New,New
Motorcycle,56315,2,5,Electric,Automatic,109923,1,10.12090429,Worn Out,New,Weak
Truck,50261,5,3,Petrol,Manual,79779,4,18.32850593,New,Good,New
Motorcycle,50359,5,2,Diesel,Automatic,145563,3,17.71401921,Good,Worn Out,New
Van,62056,0,6,Petrol,Automatic,81460,10,11.45613715,New,New,New
Truck,54300,3,10,Diesel,Manual,75685,7,11.03307397,Good,Worn Out,Weak
Car,32045,3,9,Diesel,Manual,32875,8,11.01796447,Worn Out,Good,Good
Truck,51616,2,4,Electric,Manual,86454,8,13.93216606,Worn Out,Worn Out,Weak
Truck,30919,2,10,Diesel,Manual,114516,4,16.8498609,Worn Out,Good,Good
Car,37807,5,10,Petrol,Automatic,17545,9,16.25312447,Good,Worn Out,New
Motorcycle,45130,3,3,Electric,Manual,145659,4,11.22416819,New,Worn Out,New
Bus,67297,4,7,Diesel,Automatic,144200,9,10.18635614,New,Good,Good
Car,31833,2,1,Electric,Manual,44750,10,16.22131907,New,Good,New
Car,52513,4,5,Petrol,Manual,91164,3,11.72986138,New,New,Good
Motorcycle,74312,3,7,Petrol,Automatic,27448,9,15.44230218,New,New,New
Van,69615,1,8,Electric,Manual,133705,1,15.40130489,Good,Worn Out,Weak
SUV,54319,2,6,Electric,Manual,94112,2,19.56607448,Good,Good,New
Bus,30465,5,8,Electric,Automatic,88250,8,16.26177062,Good,Good,Good
Bus,74718,0,6,Electric,Automatic,117165,9,10.06905744,New,New,Weak
Truck,71767,1,10,Diesel,Automatic,72655,7,19.37241169,Worn Out,New,Weak
Truck,44879,4,10,Petrol,Automatic,136594,8,18.44375378,Worn Out,Worn Out,New
SUV,63437,1,4,Diesel,Manual,145113,1,10.74058044,Good,Worn Out,New
Van,37711,4,8,Diesel,Manual,95379,7,10.27213099,Worn Out,Worn Out,Weak
SUV,55812,1,3,Diesel,Automatic,107638,7,11.8897067,Worn Out,Worn Out,Weak
SUV,64863,5,10,Petrol,Automatic,36582,2,12.87567031,Good,Good,New
SUV,64587,2,9,Diesel,Automatic,64081,1,14.77746895,New,Good,Good
Car,61327,0,5,Electric,Manual,92914,3,19.39833689,New,Good,New
Motorcycle,40355,0,5,Electric,Manual,51620,10,12.82404847,New,New,New
Truck,30470,5,9,Electric,Automatic,136314,1,13.1684016,New,Worn Out,Good
Car,33574,4,3,Electric,Automatic,68510,8,13.73360952,Good,Worn Out,New
SUV,40629,2,2,Petrol,Manual,126160,6,11.25649398,Good,Worn Out,New
Motorcycle,53027,2,7,Electric,Manual,128443,4,13.54567546,New,Worn Out,Weak
Motorcycle,52174,1,1,Petrol,Automatic,142400,10,16.14868765,New,New,New
SUV,65068,3,1,Diesel,Automatic,7305,6,13.14659068,Good,Worn Out,New
Bus,51987,5,8,Electric,Automatic,128724,5,10.59698812,Worn Out,Good,New
Bus,78568,2,1,Petrol,Manual,34766,4,12.53261096,New,New,Weak
Truck,40688,4,3,Petrol,Automatic,17706,7,16.79379757,Good,New,New
Truck,67068,3,7,Diesel,Manual,28931,8,19.41987828,New,Good,New
Van,43016,5,6,Electric,Automatic,131021,9,17.97291502,Worn Out,Good,Good
Truck,69434,4,10,Diesel,Automatic,126943,8,14.66329402,New,New,New
Bus,51424,0,6,Petrol,Manual,23882,3,19.03756247,New,Worn Out,New
Van,54603,1,6,Diesel,Automatic,59841,2,13.25576431,Worn Out,New,Good
SUV,50456,0,1,Petrol,Manual,90281,4,11.35394061,Good,Worn Out,Good
Motorcycle,67107,4,7,Diesel,Automatic,67387,7,19.5456257,New,New,Weak
Van,34097,2,5,Petrol,Automatic,67873,8,13.89593418,Worn Out,Worn Out,Good
Motorcycle,43301,5,9,Petrol,Automatic,126908,7,12.03731423,Worn Out,New,Good
SUV,31141,2,2,Diesel,Manual,44438,8,13.82296441,New,New,New
Car,66530,5,10,Petrol,Automatic,111629,3,18.13998499,New,Good,Weak
Bus,60903,1,7,Petrol,Automatic,93489,6,14.0669104,Good,Worn Out,New
Van,62884,1,8,Electric,Automatic,34952,3,12.7159608,Good,Worn Out,Weak
Van,45624,3,2,Electric,Manual,55479,9,19.88139887,Good,Good,Good
Truck,44489,5,10,Petrol,Automatic,84674,8,15.5931583,New,Worn Out,Weak
Van,38153,5,4,Electric,Manual,2947,5,16.54415906,New,New,New
Motorcycle,59289,0,3,Electric,Manual,61896,3,10.01994986,New,New,New
Van,53503,4,5,Diesel,Manual,14442,2,10.36187165,Worn Out,New,Good
SUV,75515,5,7,Petrol,Manual,48983,1,12.93233024,Worn Out,Worn Out,Weak
Bus,34315,4,8,Diesel,Manual,75594,10,14.72882727,Good,New,Weak
Bus,59939,3,3,Electric,Manual,53061,9,10.90322118,Good,Worn Out,New
Bus,58559,1,6,Petrol,Automatic,142372,9,13.34558879,Good,Good,Weak
Van,65052,4,10,Petrol,Automatic,54962,6,13.56279502,New,Worn Out,Good
Bus,45244,0,10,Petrol,Manual,18208,4,18.62719421,Good,New,New
SUV,45436,1,5,Diesel,Manual,141543,7,13.79809676,Worn Out,New,Good
Car,49994,3,8,Diesel,Manual,61362,10,15.99675017,Good,New,Good
Bus,54903,4,1,Petrol,Automatic,146973,3,14.18564575,New,New,Good
Van,72713,0,8,Petrol,Automatic,112586,5,17.78410823,Worn Out,Worn Out,New
Truck,47529,5,7,Petrol,Automatic,114059,1,12.66923888,New,Worn Out,Good
Truck,47251,4,1,Electric,Manual,93702,3,19.02028399,Good,Good,New
Car,72796,4,2,Petrol,Automatic,134514,8,10.93309692,New,Worn Out,Good
Van,70218,2,9,Diesel,Manual,128197,7,13.23133722,Good,Good,Weak
Van,70562,3,3,Electric,Manual,36506,7,13.31490764,Worn Out,Worn Out,Good
Bus,30456,3,10,Diesel,Automatic,78639,8,12.86151769,Good,Worn Out,New
Bus,65256,5,3,Electric,Manual,109333,10,15.90729167,Worn Out,Good,Weak
SUV,71087,5,9,Electric,Manual,104777,1,18.57437619,Worn Out,Worn Out,Weak
Truck,60738,1,3,Petrol,Manual,125407,5,14.38850726,New,Worn Out,Good
SUV,72300,4,10,Electric,Automatic,64687,6,17.24364346,New,New,New
Truck,30130,4,8,Diesel,Automatic,62886,8,19.33785458,Good,Good,Good
Car,45328,5,10,Petrol,Manual,139471,7,18.77367075,Good,Worn Out,New
Motorcycle,30972,2,10,Electric,Automatic,114249,3,15.54227421,Worn Out,Good,Good
Van,55898,2,4,Electric,Automatic,135470,3,10.84568218,Worn Out,New,New
Car,33888,4,8,Diesel,Manual,101805,9,10.87869019,New,Worn Out,Good
Car,51323,5,8,Petrol,Manual,11083,6,11.48472374,Good,New,Weak
Motorcycle,30461,0,10,Electric,Automatic,8312,2,19.81133248,Worn Out,Good,Weak
Bus,49986,5,10,Petrol,Manual,131875,3,12.14476271,Worn Out,New,Good
Truck,58517,4,3,Electric,Manual,100788,4,11.53022106,Good,New,Weak
Motorcycle,43565,2,3,Petrol,Automatic,106742,9,11.52387561,Worn Out,New,Weak
Bus,73877,2,7,Diesel,Manual,95459,3,17.71778118,Worn Out,Good,Weak
Bus,67076,0,2,Diesel,Manual,46248,4,15.65407963,New,Good,New
Bus,72252,1,5,Petrol,Automatic,137639,9,15.67498607,Worn Out,Worn Out,New
Motorcycle,41477,1,10,Electric,Manual,12051,7,14.10049819,New,Worn Out,New
Van,71597,3,10,Electric,Automatic,101519,8,13.63229666,Worn Out,Worn Out,New
Truck,53569,2,3,Diesel,Automatic,116425,4,18.14246974,Worn Out,Worn Out,Weak
SUV,63213,0,7,Diesel,Automatic,137565,7,14.8911242,Good,New,New
SUV,49661,5,9,Diesel,Manual,60887,3,12.36848238,Worn Out,Good,New
Van,69102,3,8,Diesel,Manual,98724,10,19.60119347,New,New,New
Truck,49478,2,8,Electric,Automatic,105025,4,19.13270689,Worn Out,Good,Good
SUV,69788,1,1,Diesel,Automatic,23134,10,11.11731246,New,New,Weak
SUV,62870,2,5,Diesel,Automatic,69245,7,10.03422993,Worn Out,New,Weak
Van,52744,1,8,Electric,Manual,69999,7,13.23300457,New,Good,Weak
Truck,36070,0,1,Electric,Automatic,113365,5,10.05131003,Good,Good,New
Bus,49531,3,9,Diesel,Automatic,121330,5,12.33978221,New,New,Weak
Motorcycle,61092,3,8,Petrol,Automatic,81226,1,17.16614357,New,New,Good
Truck,69224,0,6,Electric,Manual,25770,3,13.34238394,Worn Out,Worn Out,Good
Car,50052,0,10,Electric,Manual,49594,1,18.83159202,Worn Out,Worn Out,New
Motorcycle,71475,0,9,Electric,Manual,146691,2,16.69980449,New,New,Weak
Bus,43649,5,9,Diesel,Manual,2567,3,15.87274236,New,Good,New
Bus,60967,4,10,Petrol,Manual,31114,3,11.51001566,Worn Out,New,Weak
Truck,39889,2,8,Petrol,Automatic,61741,4,14.05421602,Good,New,Weak
Car,56980,2,6,Diesel,Automatic,132394,9,16.66309301,Good,Good,Good
Van,43284,3,8,Diesel,Manual,147456,8,16.81611712,Good,Worn Out,New
Motorcycle,73830,0,8,Diesel,Automatic,80942,8,10.8659322,Worn Out,New,Weak
Motorcycle,42287,1,5,Petrol,Automatic,14963,7,14.91457223,Good,Worn Out,New
Bus,63353,1,9,Diesel,Manual,81824,5,11.69996867,New,Good,New
Bus,32806,5,3,Petrol,Manual,92657,1,19.99333013,Good,Good,Weak
Bus,36748,1,9,Petrol,Manual,113071,4,16.19042505,Worn Out,New,Weak
Van,79959,4,5,Petrol,Manual,85936,5,11.54836457,Worn Out,New,Good
Car,33498,4,3,Electric,Manual,88481,5,12.98727714,New,Worn Out,Weak
Bus,68798,4,2,Petrol,Manual,121425,3,10.25521594,Good,New,New
Bus,34603,0,6,Electric,Automatic,3826,10,14.63741149,Worn Out,Good,Weak
SUV,51334,0,1,Petrol,Automatic,7067,8,12.86525784,Worn Out,New,Good
Van,67491,0,1,Petrol,Manual,44737,6,13.33978208,Worn Out,Good,Weak
Motorcycle,63640,3,10,Diesel,Manual,64920,1,15.71690777,Worn Out,Worn Out,Weak
Van,41897,0,5,Petrol,Automatic,97232,3,13.43774144,Worn Out,Good,Weak
Truck,36510,0,9,Petrol,Automatic,71233,4,17.02037157,New,Worn Out,New
Bus,49294,5,7,Diesel,Manual,111127,7,12.04011056,Worn Out,Good,New
Bus,76363,4,1,Electric,Manual,7732,5,11.92632048,Good,Worn Out,Good
Bus,45236,5,5,Diesel,Automatic,48112,7,19.84605849,Good,New,Weak
Car,35869,2,8,Petrol,Manual,29258,5,11.99223672,Worn Out,Good,Good
Van,43152,2,2,Diesel,Automatic,13148,7,18.27209088,New,New,New
Car,50613,5,3,Diesel,Manual,29934,2,17.29089477,Good,New,Good
Truck,67146,4,8,Petrol,Manual,46444,3,17.15230175,Worn Out,Good,Good
Truck,41912,2,10,Petrol,Manual,88521,7,15.47455684,Good,Good,Good
Bus,75983,4,6,Diesel,Automatic,137445,6,14.24053852,Worn Out,Good,Weak
Bus,75196,3,3,Diesel,Automatic,110886,4,18.78073407,Worn Out,Good,Good
Truck,72918,0,3,Petrol,Automatic,90753,5,16.02089038,Worn Out,New,Weak
Motorcycle,48788,4,7,Electric,Manual,65257,1,14.23163907,Good,Good,Good
Motorcycle,60979,2,5,Petrol,Manual,82298,1,10.97207659,Good,Good,New
Motorcycle,48530,1,10,Petrol,Automatic,99157,7,13.31663553,Good,Worn Out,New
SUV,41549,0,6,Petrol,Manual,115251,2,11.56197108,New,Good,Weak
Motorcycle,50440,0,1,Electric,Manual,1627,9,16.53226897,Good,Worn Out,Good
SUV,68408,1,2,Petrol,Manual,127094,10,12.06279303,Good,New,New
Motorcycle,76516,3,4,Petrol,Manual,65948,6,14.5028228,Good,Good,New
Bus,79297,3,7,Diesel,Manual,20350,10,15.78401262,Good,Good,New
SUV,32623,0,5,Petrol,Manual,110368,10,15.81867037,Worn Out,Worn Out,Good
Van,33927,5,2,Petrol,Automatic,44634,1,13.88211111,Good,Good,New
Truck,62393,3,2,Diesel,Automatic,46717,6,13.08896368,Good,Worn Out,New
Motorcycle,40467,5,8,Diesel,Automatic,39375,7,17.69586974,Good,New,Good
Car,40241,2,10,Diesel,Automatic,90708,8,18.38121611,New,New,Weak
Truck,33860,1,4,Electric,Manual,76712,9,17.93002175,Good,Good,New
Bus,37148,4,7,Diesel,Automatic,30284,7,14.22672742,Worn Out,Good,Weak
Car,57111,2,9,Electric,Automatic,111025,4,13.59584502,Good,Worn Out,Weak
SUV,56905,2,3,Diesel,Manual,27086,1,10.6317789,Good,New,Weak
Truck,74704,4,4,Diesel,Automatic,107129,3,17.64580048,Good,New,Weak
Truck,76765,4,8,Diesel,Automatic,91683,7,17.18733285,Good,Worn Out,Good
Bus,50403,1,4,Electric,Manual,48566,8,19.33974499,Worn Out,Good,Good
Van,30815,2,1,Electric,Manual,103464,6,10.77167902,Worn Out,New,Weak
Van,62319,3,7,Diesel,Automatic,102558,8,13.31522213,Worn Out,New,Good
Bus,52741,3,1,Petrol,Automatic,34507,7,12.16025145,Good,New,Good
SUV,52330,3,10,Petrol,Manual,110848,5,18.30657537,New,Worn Out,Good
Truck,45273,5,6,Petrol,Manual,126791,5,19.54273161,New,New,Weak
SUV,77294,3,9,Diesel,Automatic,73100,8,15.66062894,New,New,New
Motorcycle,73665,0,5,Petrol,Automatic,138954,5,10.69601475,New,Worn Out,Weak
Motorcycle,76462,5,2,Electric,Automatic,2216,3,11.61722152,New,Worn Out,New
Van,66172,5,5,Diesel,Manual,96917,8,11.0329383,Good,New,Weak
Truck,38747,5,5,Electric,Automatic,133115,3,16.43367798,New,Worn Out,New
Bus,49477,1,10,Electric,Automatic,31821,7,13.95787143,New,Good,Good
Car,38212,5,7,Petrol,Manual,130351,9,17.38947351,New,Worn Out,New
SUV,33017,1,1,Electric,Manual,57997,3,13.66150719,New,Worn Out,Weak
Truck,37512,1,8,Petrol,Manual,139477,5,13.44635091,Worn Out,New,Weak
SUV,76107,1,1,Diesel,Automatic,119326,9,16.74911278,New,Good,Weak
Motorcycle,76831,3,1,Petrol,Manual,43304,10,15.67360084,New,Worn Out,New
Van,68117,2,6,Diesel,Manual,114309,2,18.32669454,New,New,New
Bus,33205,1,4,Diesel,Automatic,2421,5,19.15084029,New,New,New
Van,56980,1,3,Diesel,Automatic,73080,9,11.1112783,Worn Out,Good,New
Van,60507,1,10,Electric,Automatic,119446,5,19.79163527,Worn Out,New,New
Van,34324,2,4,Petrol,Manual,137038,3,16.69976545,Good,New,New
Van,70433,3,4,Petrol,Manual,79210,2,11.613187,New,Worn Out,New
Car,54757,4,6,Petrol,Automatic,68119,4,10.44685766,New,New,Good
Van,68256,0,8,Electric,Manual,27539,6,16.3392927,Good,Worn Out,Weak
Car,79777,5,10,Petrol,Automatic,140845,1,19.41000821,Good,New,Good
Bus,53688,5,1,Petrol,Automatic,86581,7,14.32188803,New,New,Good
Motorcycle,57984,0,2,Diesel,Manual,5605,9,18.72293004,New,Worn Out,New
Motorcycle,61524,5,8,Petrol,Manual,40943,5,17.49513939,Good,Worn Out,New
Bus,51678,1,5,Electric,Manual,11662,7,12.87411337,Good,Good,Good
Truck,66867,0,2,Electric,Automatic,93817,9,14.551368,Worn Out,Worn Out,New
Van,57160,0,7,Petrol,Manual,60681,8,18.36127197,Good,New,Good
Motorcycle,62053,5,9,Electric,Automatic,91529,4,19.91061039,Good,Good,Weak
Truck,41816,0,9,Electric,Automatic,107665,4,15.30617339,Good,Good,New
Truck,38932,2,2,Petrol,Manual,12888,9,16.82762364,Worn Out,Good,Weak
Van,32104,1,5,Petrol,Manual,54508,7,11.0642489,Good,New,Good
Motorcycle,41125,4,9,Diesel,Automatic,144795,4,13.04084627,New,Worn Out,Weak
Bus,72888,1,3,Petrol,Manual,143431,6,14.8976669,Good,Good,Weak
Motorcycle,74528,2,10,Petrol,Manual,65752,1,13.25874744,New,Good,Weak
